#没有用的资料罢了，B站的中立性被钻了空子#





活动排名         视频号           活动投票数     观看数                视频标题
2020-04-09 10:30:52：
   1    av200133555/BV14z411b79Z     21103       57166     【肖战古装混剪】有眼睛的人会去看，有心的人会去感受。
   2    av840130595/BV1n54y1d7YZ     20147       38131     肖战｜裙下之臣｜世人责怪你挑起战争
   3    av625152734/BV1xt4y1U7EN     18988       21232     ［肖战］美颜系列—《我们的歌》1
   4    av285162308/BV1mc411h7Jx     18834       25267     【肖战】纵是年少风流可入画，却也自成风骨难笔拓
   5    av497743671/BV1ZK411L7ds     17461       21022     【肖战×肖赞】          ᵀʰᵉ ᵐᵒᵒⁿ ᵈᵒᵉˢ ⁿᵒᵗ ʰᵒˡᵈ ʸᵒᵘ, ᵗⁱᵐᵉ ᵈᵉˢᵗʳᵒʸˢ ʸᵒᵘ, ᵇᵘᵗ ᴵ ˡᵒᵛᵉ ʸᵒᵘ.
   6    av285225485/BV1kf4y1U7Uq     17137       13506     【肖战笑颜】战战超甜治愈系笑容|你的微笑 编织了每一个奇妙
   7    av455244023/BV1s5411t78v     16880       14577     【肖战|处处吻】走过路过不能错过的绝美小赞
   8    av412628356/BV1jV411o7xV     16644       19817     肖战｜stay｜心动踩点修改版
   9    av625145995/BV1Gt4y1U7Ww     15764       13866     【肖战】今日份心动男孩，治愈系笑容
   10    av625216374/BV1At4y127Vo     15249       11365     【肖战】sean xiao×swimming poolsⅠ战哥个人向剪辑Ⅰ他依然还是那个叫肖战的少年
   11    av795139145/BV1jC4y1s73n     14707       7995     可归否【肖战|心动窒息向】爱上你等于爱上寂寞
   13    av667676988/BV1Sa4y1t7ok     14463       8152     【肖战 | 水仙向】【言冰云✖魏无羡】《浮生若梦·上篇》
   14    av837685730/BV14g4y187Sk     14188       7276     肖战你的笑容，是我们最大的鼓励
   15    av625136584/BV1gt4y1U727     13092       7074     【肖战】心动卡点剪辑
   17    av242638773/BV1ye411x7BM     11725       6344     肖战 Solo
   19    av667694827/BV1Wa4y1x7xE     11138       6894     【肖战】啊..哥..太快了..
   38    av837723547/BV1Bg4y187b1     4206       2687     【肖战丨眼神杀混剪】肖战的眼睛有多好看丨心动狙击丨Done for me
   42    av752633930/BV1ak4y197ut     3933       2161     【肖战｜民国故梦】豪门贵公子的旧梦时光
   44    av455218792/BV1t5411t7xB     3738       1772     西窗烟雨 ‖ 肖战古风治愈向混剪
